,Address,Lat,Lng,Name,Avgscore
273,"8 W 58th StNew York, NY 10019",40.763996,-73.974384,Beautique,6.0
274,"44 W 44th StNew York, NY 10036",40.755790999999995,-73.9821,Forty Four Lounge,7.0
275,"700 5th AveManhattan, NY 10019",40.761589,-73.97521,Gotham Lounge,7.0
276,"25 8th AveBrooklyn, NY 11201",40.674726,-73.972,Montauk Club,8.0
277,"944 8th AveNew York, NY 10019",40.765751,-73.98316700000001,Ivy,7.0
278,"425 Lafayette StNew York, NY 10003",40.729032000000004,-73.9918,The Library at The Public,7.0
279,"25 N Moore StNew York, NY 10013",40.720073,-74.0072,Brandy Library,8.0
280,"113 E 31st StNew York, NY 10016",40.745067999999996,-73.981859,Natureworks,8.0
281,"9 Crosby StNew York, NY 10013",40.71983,-74.0,NOMO Kitchen,7.0
282,"87 Lafayette Ave.Fort Greene, NY 11217",40.687419,-73.974868,The Quarter,8.0
283,"112 Graham AveBrooklyn, NY 11206",40.705051,-73.9425,Eastwick,8.0
284,"2027 Emmons AveBrooklyn, NY 11235",40.584112,-73.9466,Cats on the Bay,7.0
285,"43 W 24th StNew York, NY 10010",40.743381,-73.991292,Raymi,8.0
286,"511 E 5th StNew York, NY 10009",40.724728999999996,-73.98365799999999,GG's,8.0
287,"25-07 Queens Plz NLong Island City, NY 11101",40.751052,-73.939592,Fresh Kitchen,10.0
288,"24 W 55th StNew York, NY 10019",40.762031,-73.976447,Michael's,7.0
289,"57 E 54th StNew York, NY 10022",40.760282000000004,-73.9729,Bill's Townhouse,9.0
290,"22-25 Jackson AveLong Island City, NY 11101",40.74559,-73.947154,M Wells Dinette,8.0
291,"165 Wilson AveBrooklyn, NY 11237",40.700122,-73.924188,The Wheelhouse,8.0
292,"890 7th AveNew York, NY 10106",40.765225,-73.9806,Redeye Grill,7.0
293,"1300 Sinatra DrHoboken, NJ 07030",40.752441,-74.023798,McLoone's Pier House,5.0
294,"538 Madison AveNew York, NY 10022",40.760744,-73.9737,Caviar Russe,8.0
295,"2 Main StEdgewater, NJ 07020",40.803426,-73.9907,HAVEN Riverfront Restaurant and Bar,8.0
296,"508 W 42nd StNew York, NY 10036",40.75971,-73.9963,The Lindeman,8.0
297,"664 Manhattan AveBrooklyn, NY 11222",40.724495000000005,-73.951157,Cherry Point,10.0
298,"1048 3rd AveNew York, NY 10065",40.763378,-73.9656,Theo's Restaurant & Oyster Bar,8.0
299,"21 Greenpoint AveBrooklyn, NY 11222",40.729803000000004,-73.9599,21 Greenpoint,8.0
300,"85 W BroadwayNew York, NY 10007",40.715201,-74.0091,Little Park,8.0
301,"479 Washington BlvdJersey City, NJ 07310",40.724998,-74.036119,Fire & Oak,7.0
302,"210 E 49th StNew York, NY 10017",40.755194,-73.9708,Wollensky Grill,8.0
303,"49 W 64th StNew York, NY 10023",40.772044,-73.9814,Atlantic Grill,8.0
304,"234 W 42nd StNew York, NY 10036",40.756581,-73.988659,Speakeasy Dollhouse - Ziegfeld_æ_s Midnight Frolic,7.0
305,"234 W 42nd StNew York, NY 10036",40.756581,-73.988659,Speakeasy Dollhouse - Ziegfeld_æ_s Midnight Frolic,7.0
306,"6 Times SquareNew York, NY 10037",40.755583,-73.9862,Charlie Palmer at the Knick,6.0
307,"378 Park Ave SNew York, NY 10010",40.742753,-73.98473,Hillstone Restaurant,8.0
308,"229 S 4th StBrooklyn, NY 11211",40.710658,-73.9588,Traif,9.0
