,Unnamed: 0,Address,Lat,Lng,Name,Avgscore
258,258,"51 Christopher St # 53, New York, New York City, NY 10014-3530",40.73363,-74.00225999999998,51-53 Christopher Street,7.0
259,259,"529 West 121th St, between Broadway and Amsterdam avenues, New York City, NY 10027-5901",40.81096,-73.96067,Corpus Christi Church,10.0
260,260,"10 E 130th St, Harlem, New York City, NY 10037-3707",40.80914,-73.93930999999998,Kelly Temple,10.0
261,261,"20 Cardinal Hayes Pl, New York City, NY 10007-1798",40.71328,-74.00232,St Andrew Church,7.0
262,262,"1 Chase Manhattan Plz, Between Pine, Liberty, Nassau, and William Streets, New York City, NY 10005-1401",40.707905,-74.00954,One Chase Manhattan Plaza,8.0
263,263,"111 Worth St Apt 4G, New York City, NY 10013-4017",40.716133,-74.00365,Foley Square,8.0
265,265,"41st Street, New York City, NY 10017",40.750187,-73.97511,Library Way,9.0
266,266,"East 43rd Street, Between Madison and Fifth, New York City, NY 10017",40.752132,-73.97556999999998,The Kneeling Fireman,10.0
267,267,"Ave of the Americas & W 47th St, New York City, NY 10036",40.75792,-73.98165999999998,Diamond District,10.0
268,268,"110th Street and Fifth Ave., New York City, NY 10029",40.79718,-73.94904,Dana Discovery Center,8.0
270,270,"143 E 43rd St, New York City, NY 10017-4007",40.7519,-73.97446,Church of Saint Agnes,7.0
271,271,"328 W 14th St, between Seventh and Eighth Avenues, in the Greenwich Village section of Manhattan in New York City., New York City, NY 10014-5002",40.7401,-74.00408,Church of Our Lady of Guadalupe,7.0
272,272,"28 Greene St, Soho, New York City, NY 10013-2524",40.7212,-74.00246,Queen of Greene Street,8.0
273,273,"211 W 141st St, New York City, NY 10030-1707",40.819607,-73.94166,Church of St Charles Borromeo,10.0
274,274,"147 W 144th St, Harlem, New York City, NY 10030-1301",40.820877,-73.93879,Cathedral Church of St. Thomas the Apostle,10.0
275,275,"115th Off Pleasant Avenue, New York City, NY 10029",40.794716,-73.93339499999998,Church of Our Lady of Mount Carmel,10.0
276,276,"3 Henry Street, corner of Oliver St at Chatham Sq, New York City, NY 10038",40.71286,-73.99776,Mariners' Temple Baptist Church,10.0
277,277,"17 State St, New York City, NY 10004",40.702885,-74.01398499999998,New York Unearthed,9.0
278,278,"44 John Street, New York City, NY",40.709133,-74.0081,John Street United Methodist Church,9.0
279,279,"Bleecker St, New York City, NY 10014",40.73316,-74.00411,Father Demo Square,9.0
280,280,"619 Lexington Ave, New York City, NY 10022-4613",40.758564,-73.97038,Saint Peteräó»s Church,7.0
281,281,"7 W 55th St, New York City, NY 10019-4902",40.76208,-73.97525,Fifth Avenue Presbiterian Church,8.0
282,282,"135 East 96th Street, New York City, NY 10128",40.786373,-73.95142,St. Francis de Sales Church,9.0
283,283,"553 W 51st St, New York City, NY 10019-5004",40.766384,-73.99351,Irish Arts Center,9.0
284,284,"325 Bowery, Corner of the Bowery and 2nd Street, New York City, NY 10003-8962",40.725628,-73.992,Joey Ramone Place,8.0
285,285,"41 1/2 2nd Ave, New York City, NY 10003-8632",40.72524,-73.99035,New York Marble Cemetery,7.0
286,286,"Sixth Avenue, New York City, NY",40.742905,-73.9928,East Village,7.0
287,287,"209 Madison Avenue, New York City, NY 10016",40.7486,-73.98201999999998,Church of the Incarnation,8.0
289,289,"337 E 74th St, New York City, NY 10021-3792",40.769665,-73.95628,Holy Trinity Greek Orthodox Cathedral,9.0
290,290,"60 E 66th St, New York City, NY 10065-6540",40.767414,-73.96741999999998,Adam Baumgold Gallery,9.0
291,291,"1573 Madison Ave, New York City, NY 10029-3819",40.793747,-73.94856999999998,Graffiti Hall of Fame,8.0
292,292,"432 W 44th St, New York City, NY 10036-5205",40.76021,-73.99331,The Actors Studio,9.0
293,293,"435 W Broadway, New York City, NY 10012-5902",40.72554,-74.00091,Franklin Bowles Gallery NYC,9.0
294,294,"Broadway, New York City, NY",40.69887,-73.93862,Canyon of Heroes,9.0
296,296,"18 West 53rd Street New York, NY, 10019, New York City, NY 10019",40.7609,-73.97736,53rd Street Public Library,10.0
297,297,"330 Hudson St, Ground Floor, New York City, NY 10013",40.727108,-74.007225,Cadillac House,10.0
298,298,"West side of Lower Manhattan, New York City, NY",40.72795,-73.95318,Greenwich Village,10.0
300,300,"82-30 Cypress Hills Street, Ridgewood, Queens, New York, New York City, NY 11385",40.69363,-73.884445,"Machpelah Cemetery, site of Houdini's grave",10.0
301,301,"30 E 7th St, New York City, NY 10003-8254",40.728413,-73.989876,St. George Ukrainian Catholic Church,10.0
302,302,"310 E 42nd St, New York City, NY 10017-5905",40.749348,-73.971855,Church of the Covenant,10.0
304,304,"47 E 65th St # 49, Hunter College, New York City, NY 10065-6508",40.76712,-73.96768,Roosevlet House,10.0
305,305,"37 Walker St, New York City, NY 10013-3513",40.719143,-74.004074,SUMO,10.0
306,306,"165 Waverly Pl, 2F, New York City, NY 10014-6837",40.73368,-74.00133000000002,The Northern Dispensary,10.0
307,307,"1345 Avenue of the Americas, 30th Floor, New York City, NY 10105-0302",40.76299,-73.979065,"Rubenstein Communications, Inc.",10.0
308,308,"2320 Frederick Douglass Blvd et 125th, New York City, NY 10027-3613",40.81016,-73.951195,United House of Prayer for All People,10.0
309,309,"7-11 Willet St, New York City, NY 10002",40.71554,-73.98331999999998,Bialystoker Synagogue,10.0
310,310,"3080 Broadway, New York City, NY 10027-4650",40.81187,-73.96068000000002,The Jewish Theological Seminary,10.0
311,311,"140 West St., New York City, NY",40.713802,-74.013,New York Telephone Company Building,10.0
312,312,"Madison Avenue, New York City, NY",40.777637,-73.96115999999998,Crystal District,9.0
313,313,"428 Lafayette St # 434, New York City, NY 10003-6914",40.72918,-73.99247,Colonnade Row,9.0
