,Cleanliness,Comfort,Facilities,Free Wifi,Location,Staff,Value for money,address,avgscore,name,price,total_review,lat,lng
80,7.6,7.3,7.0,7.4,6.8,7.1,6.6,"109-17 Horace Harding Expressway , Queens, NY 11368, United States of America",7.1,Paris Suites Hotel New York,4,345,40.7382974,-73.85049
81,8.3,8.0,7.6,8.2,7.6,7.7,7.4,"27-05 39th Avenue, Queens, NY 11101, United States of America",7.8,Four Points by Sheraton Long Island City,5,231,40.7543636,-73.9356671
82,7.4,7.1,6.7,7.3,7.6,7.8,6.6,"135-33 38th Avenue, Queens, NY 11354 , United States of America",7.2,Howard Johnson Flushing,3,207,40.7607068,-73.8316079
83,7.0,7.2,6.7,8.4,7.6,6.9,7.3,"53-05 Queens Boulevard, Queens, NY 11377, United States of America",7.1,Quality Inn Woodside Queens,2,634,40.7425493,-73.911502
84,9.1,8.8,8.7,8.5,8.4,9.0,8.1,"29-21 41st Avenue   , Queens, NY 11101, United States of America",8.7,Hilton Garden Inn Long Island City-Manhattan View,3,439,40.7502177,-73.9368844
85,8.7,8.5,8.2,7.2,8.0,8.4,7.8,"137-07 Northern Boulevard, Queens, NY 11354, United States of America",8.3,Marco LaGuardia Hotel by Lexington,4,144,40.7633784,-73.83093930000001
86,6.4,6.2,6.1,6.2,7.1,6.3,6.2,"31-36 Queens Boulevard, Queens, NY 11101, United States of America",6.4,Days Inn - Long Island City,3,291,40.7450411,-73.9338515
87,6.2,6.4,5.8,7.0,6.3,6.7,6.0,"151-67 North Conduit Avenue, Queens, NY 11434, United States of America",6.3,Super 8 Jamaica,1,520,40.667587,-73.7799974
88,8.6,8.4,8.3,8.9,7.7,8.7,7.6,"59-40 55th Road, Queens, NY 11378, United States of America",8.2,Holiday Inn Express Maspeth,4,118,40.72640519999999,-73.907247
89,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,"33rd Street & Ditmars Boulevard, Queens, NY 11105, United States of America",-999.0,Astoria Apartment,5,-999,40.7753673,-73.9096139
90,9.6,9.3,8.7,9.4,8.1,9.1,8.8,"32-22 137th ST, Queens, NY 11354, United States of America",8.9,Higher Suites,5,38,40.7672012,-73.83053629999999
91,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,"Broadway and 30th Street, Queens, NY 11106, United States of America",-999.0,Astoria Queens Town House,-999,-999,40.7623431,-73.9261873
92,8.4,8.3,7.9,7.3,7.9,8.3,7.4,"39-05 29th Street, Queens, NY 11101, United States of America",8.0,Holiday Inn Long Island City - Manhattan View,5,235,40.7531975,-73.9343614
93,7.6,7.3,6.9,7.5,7.1,7.8,6.8,"153-75 Rockaway Blvd, Queens, NY 11434, United States of America",7.2,Sleep Inn JFK Airport Rockaway Blvd Jamaica,2,313,40.6689506,-73.7815741
94,8.8,8.4,8.6,9.3,8.3,8.8,8.3,"13-02 44th Avenue, Queens, NY 11101, United States of America",8.5,The Local Hostel NYC,1,931,40.7495622,-73.94770079999999
